"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL20082032","SALT LAKE CITY","3","5","23F","100 E SOUTH TEMPLE ST                                                                                   ","01/03/2008","AVE","211","01/04/2008","2305-0","LARCENY","1892755","887590"
"SL200823744","SALT LAKE CITY","1","5","90A","1700 W 700 N                                                                                             ","01/03/2008","JOM","133","02/05/2008","2606-0","FRAUD","1878400","893204"
"SL200842334","SALT LAKE CITY","2","5","23H","2000 S 900 W                                                                                             ","01/03/2008","WSL","153","03/04/2008","2304-1","LARCENY","1884684","872260"
"SL20081907","SALT LAKE CITY","4","6","35A","400 S 400 W                                                                                             ","01/04/2008","DTN","114","01/04/2008","3532-0","DRUGS","1888724","884155"
"SL20081917","SALT LAKE CITY","7","6","0","1100 E ASHTON AVE                                                                                        ","01/04/2008","SUG","235","01/04/2008","7399-99","PUBLIC ORDER","1900708","869772"
"SL20081903","SALT LAKE CITY","4","6","13B","300 S 1000 E                                                                                            ","01/04/2008","EAC","213","01/04/2008","1313-0","ASSAULT","1899826","884554"
"SL20081928","SALT LAKE CITY","4","6","90D","100 E 600 S                                                                                             ","01/04/2008","CEC","115","01/04/2008","5404-0","TRAFFIC","1893192","882836"
"SL20081939","SALT LAKE CITY","4","6","90D","600 S STATE ST                                                                                          ","01/04/2008","PEF","115","01/04/2008","5404-0","TRAFFIC","1892621","882798"
"SL20081944","SALT LAKE CITY","4","6","90D","400 S 700 E                                                                                             ","01/04/2008","EAC","215","01/04/2008","5404-0","TRAFFIC","1897441","883936"
"SL20081940","SALT LAKE CITY","3","6","0","100 N 300 W                                                                                             ","01/04/2008","CAH","111","01/04/2008","5499-12","TRAFFIC","1889474","888558"
"SL20081950","SALT LAKE CITY","5","6","90D","900 S 200 W                                                                                             ","01/04/2008","PEF","114","01/04/2008","5404-0","TRAFFIC","1890230","879802"
"SL20081949","SALT LAKE CITY","4","6","90D","400 S 500 W                                                                                             ","01/04/2008","DTN","114","01/04/2008","5404-0","TRAFFIC","1887872","884386"
"SL20081952","SALT LAKE CITY","4","6","90D","500 S 400 E                                                                                             ","01/04/2008","CEC","214","01/04/2008","5404-0","TRAFFIC","1895003","883582"
"SL20081959","SALT LAKE CITY","3","6","90D","500 N PUGSLEY ST                                                                                        ","01/04/2008","CAH","111","01/04/2008","5499-44","TRAFFIC","1889172","891558"
"SL20081924","SALT LAKE CITY","4","6","35A","100 W 600 S                                                                                             ","01/04/2008","PEF","115","01/04/2008","3530-0","DRUGS","1890632","882845"
"SL20081975","SALT LAKE CITY","1","6","0","100 N LAXON CT                                                                                          ","01/04/2008","STF","132","01/04/2008","5499-12","TRAFFIC","1884485","888895"
"SL20081983","SALT LAKE CITY","2","6","240","1400 W WASATCH AVE                                                                                       ","01/04/2008","POP","151","01/04/2008","2499-13","STOLEN VEHICLE","1880442","881693"
"SL20082005","SALT LAKE CITY","2","6","0","900 W 2100 S                                                                                            ","01/04/2008","WSL","153","01/04/2008","5499-7","TRAFFIC","1884654","871718"
"SL20082007","SALT LAKE CITY","1","6","240","700 N MORTON DR                                                                                         ","01/04/2008","WES","131","01/04/2008","2499-13","STOLEN VEHICLE","1876947","893800"
"SL20082011","SALT LAKE CITY","1","6","0","3700 W TERMINAL WESTBOUND DR                                                                             ","01/04/2008","WES","133","01/04/2008","7399-1","PUBLIC ORDER","1866562","893915"
"SL20086374","WEST VALLEY CITY",,"5","90Z",,"01/10/2008","43","43","01/10/2008","4902-0","ESCAPE","1869480","862705"
"SL20082015","SALT LAKE CITY","1","6","0","400 N WRIGHT BROTHERS DR                                                                                ","01/04/2008","JOM","133","01/04/2008","7399-4","PUBLIC ORDER","1860166","890806"
"SL20082040","SALT LAKE CITY","1","6","13C","500 N 1300 W                                                                                            ","01/04/2008","STF","132","01/04/2008","1316-3","ASSAULT","1881586","891924"
"SL20081904","SALT LAKE CITY","2","6","0","1200 S EMERY ST                                                                                          ","01/04/2008","WSL","152","01/04/2008","7399-3","PUBLIC ORDER","1882552","877343"
"SL20081912","SALT LAKE CITY","6","6","90C","1900 E TARTAN AVE                                                                                        ","01/04/2008","BOH","233","01/04/2008","5311-0","PUBLIC PEACE","1907488","874956"
"SL20082100","SALT LAKE CITY","4","6","0","300 E 200 S                                                                                             ","01/04/2008","CEC","212","01/04/2008","7399-5","PUBLIC ORDER","1894390","886000"
"SL20081921","SALT LAKE CITY","4","6","0","200 S RIO GRANDE ST                                                                                     ","01/04/2008","DTN","112","01/04/2008","7399-11","PUBLIC ORDER","1888238","885862"
"SL20081970","SALT LAKE CITY","5","6","0","2000 S 200 E                                                                                             ","01/04/2008","LIW","234","01/04/2008","7399-11","PUBLIC ORDER","1893431","871948"
"SL20081948","SALT LAKE CITY","7","6","0","2000 S DOUGLAS ST                                                                                        ","01/04/2008","SUG","236","01/04/2008","7399-1","PUBLIC ORDER","1901694","871976"
"SL20081930","SALT LAKE CITY","7","6","13B","2000 S 1200 E                                                                                            ","01/04/2008","SUG","236","01/04/2008","1313-0","ASSAULT","1901360","871851"
"SL20081956","SALT LAKE CITY","1","6","23C","700 N REDWOOD RD                                                                                        ","01/04/2008","ROP","131","01/04/2008","2303-0","LARCENY","1878563","893444"
"SL20081971","SALT LAKE CITY","2","6","0","1500 W CALIFORNIA AVE                                                                                    ","01/04/2008","WSL","153","01/04/2008","7399-1","PUBLIC ORDER","1879710","877056"
"SL20081972","SALT LAKE CITY","3","6","23F","500 E 1ST AVE                                                                                           ","01/04/2008","AVE","211","01/04/2008","2305-0","LARCENY","1897051","888012"
"SL20081981","SALT LAKE CITY","6","6","90Z","1900 E TARTAN AVE                                                                                        ","01/04/2008","BOH","233","01/04/2008","4802-0","OBST POLICE","1907488","874956"
"SL20082030","SALT LAKE CITY","6","6","290","2200 E 2100 S                                                                                            ","01/04/2008","SUG","236","01/04/2008","2901-1","DAMAGED PROP","1909267","871543"
"SL20082036","SALT LAKE CITY","2","6","0","600 S REDWOOD RD                                                                                        ","01/04/2008","POP","154","01/04/2008","5499-7","TRAFFIC","1878548","882592"
"SL20082091","SALT LAKE CITY","5","6","290","100 E YALE AVE                                                                                          ","01/04/2008","WEL","231","01/04/2008","2902-0","DAMAGED PROP","1892949","878860"
"SL20082109","SALT LAKE CITY","4","6","0","1300 E 500 S                                                                                             ","01/04/2008","EAC","215","01/04/2008","7399-25","PUBLIC ORDER","1902407","883534"
"SL20082169","SALT LAKE CITY","7","6","0","2100 S 1700 E                                                                                            ","01/04/2008","SUG","236","01/04/2008","5399-28","PUBLIC PEACE","1905397","871097"
"SL20082135","SALT LAKE CITY","1","6","0","3700 W TERMINAL WESTBOUND DR                                                                             ","01/04/2008","WES","133","01/04/2008","7399-1","PUBLIC ORDER","1866562","893915"
"SL20082148","SALT LAKE CITY","2","6","90Z","200 S 900 W                                                                                             ","01/04/2008","POP","151","01/04/2008","4902-0","ESCAPE","1884710","886005"
"SL20082063","SALT LAKE CITY","1","6","0",,"01/04/2008","JOM","133","01/04/2008","5499-84","TRAFFIC","1866905","891511"
"SL20082213","SALT LAKE CITY","1","6","0",,"01/04/2008","JOM","133","01/04/2008","5499-84","TRAFFIC","1866905","891511"
"SL20082075","SALT LAKE CITY","7","6","23F","1900 S DOUGLAS ST                                                                                        ","01/04/2008","SUG","236","01/04/2008","2305-0","LARCENY","1901696","872686"
"SL20082190","SALT LAKE CITY","4","6","0","200 S 200 E                                                                                             ","01/04/2008","CEC","113","01/04/2008","5399-23","PUBLIC PEACE","1893425","885628"
"SL20082121","SALT LAKE CITY","4","6","250","300 E 700 S                                                                                             ","01/04/2008","CEC","214","01/04/2008","2506-0","FORGERY","1894720","881977"
"SL20082167","SALT LAKE CITY","5","6","13B","1000 S WEST TEMPLE ST                                                                                    ","01/04/2008","PEF","231","01/04/2008","1313-0","ASSAULT","1891020","879224"
"SL20082174","SALT LAKE CITY","4","6","290","900 E 300 S                                                                                             ","01/04/2008","EAC","213","01/04/2008","2902-1","DAMAGED PROP","1899318","885188"
"SL20082266","SALT LAKE CITY","4","6","23G","100 S 900 E                                                                                             ","01/04/2008","EAC","213","01/04/2008","2304-0","LARCENY","1899038","886599"
"SL20082305","SALT LAKE CITY","5","6","23G","1900 S STATE ST                                                                                          ","01/04/2008","PEF","234","01/04/2008","2304-0","LARCENY","1892582","872573"
"SL20082054","SALT LAKE CITY","2","6","0","2000 S REDWOOD RD                                                                                        ","01/04/2008","WSL","153","01/04/2008","7399-3","PUBLIC ORDER","1878573","872043"
"SL20082270","SALT LAKE CITY","4","6","0","200 S STATE ST                                                                                          ","01/04/2008","CEC","113","01/04/2008","7399-3","PUBLIC ORDER","1892692","885551"
"SL20082068","SALT LAKE CITY","1","6","90Z","700 N REDWOOD RD                                                                                        ","01/04/2008","WES","131","01/04/2008","4902-0","ESCAPE","1878502","893287"
"SL20082081","SALT LAKE CITY","2","6","220","1500 W 2100 S                                                                                            ","01/04/2008","WSL","153","01/04/2008","2205-0","BURGLARY","1879609","871818"
"SL20082308","SALT LAKE CITY","1","6","90Z","300 N 900 W                                                                                             ","01/04/2008","STF","132","01/04/2008","4902-0","ESCAPE","1884727","890058"
"SL20082353","SALT LAKE CITY","1","6","35A","300 N 900 W                                                                                             ","01/04/2008","STF","132","01/04/2008","3562-0","DRUGS","1884727","890058"
"SL20082250","SALT LAKE CITY","4","6","23F","400 S 1000 E                                                                                            ","01/04/2008","EAC","213","01/04/2008","2305-0","LARCENY","1899825","884208"
"SL200829477","SALT LAKE CITY",,"5","0",,"02/14/2008","40","40","02/14/2008","7399-5","PUBLIC ORDER","1867847","894419"
"SL20082315","SALT LAKE CITY","1","6","220","800 N 1300 W                                                                                            ","01/04/2008","ROP","131","01/04/2008","2204-0","BURGLARY","1881536","894414"
"SL20082320","SALT LAKE CITY","5","6","90I","200 E HERBERT AVE                                                                                       ","01/04/2008","WEL","231","01/04/2008","5324-0","PUBLIC PEACE","1893773","879239"
"SL20082432","SALT LAKE CITY","4","6","0","500 S 400 E                                                                                             ","01/04/2008","CEC","214","01/04/2008","5499-12","TRAFFIC","1895003","883435"
