"case","city","city_council","day_of_week","ibr_code","location","occur_date","police_gird","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2010724","SALT LAKE CITY","2","7","23H","6000 W CALIFORNIA AVE                                                                                    ","01/02/2010 12:00:00 AM","WSL","154","2010-01-02T00:00:00.000","2309-0","LARCENY","1850757","877177"
"SL2010719","SALT LAKE CITY","4","7","13B","200 S RIO GRANDE ST                                                                                     ","01/02/2010 12:00:00 AM","DTN","112","2010-01-02T00:00:00.000","1313-0","ASSAULT","1888238","885862"
"SL2010858","SALT LAKE CITY","4","7","90Z","000 S RIO GRANDE ST                                                                                     ","01/02/2010 12:00:00 AM","DTN","112","2010-01-02T00:00:00.000","5309-0","PUBLIC PEACE","1888300","886965"
"SL2010854","SALT LAKE CITY","5","7","290","1000 S 1000 E                                                                                            ","01/02/2010 12:00:00 AM","EAL","232","2010-01-02T00:00:00.000","2902-0","DAMAGED PROP","1899745","879259"
"SL2010792","SALT LAKE CITY","5","7","23F","1800 S ROBERTA ST                                                                                        ","01/02/2010 12:00:00 AM","LIW","234","2010-01-02T00:00:00.000","2305-0","LARCENY","1893722","873171"
"SL2010875","SALT LAKE CITY","1","7","0","3700 W TERMINAL WESTBOUND DR                                                                             ","01/02/2010 12:00:00 AM","WES","133","2010-01-02T00:00:00.000","7399-1","PUBLIC ORDER","1866562","893915"
"SL2010874","SALT LAKE CITY","3","7","0","200 N F ST                                                                                              ","01/02/2010 12:00:00 AM","AVE","211","2010-01-02T00:00:00.000","2499-16","STOLEN VEHICLE","1896020","889535"
"SL2010807","SALT LAKE CITY","7","7","220","2100 S 2100 E                                                                                            ","01/02/2010 12:00:00 AM","SUG","236","2010-01-02T00:00:00.000","2202-0","BURGLARY","1908545","871043"
"SL2010814","SALT LAKE CITY","7","7","0","1100 E BRICKYARD RD                                                                                      ","01/02/2010 12:00:00 AM","SUG","235","2010-01-02T00:00:00.000","5499-7","TRAFFIC","1900859","863438"
"SL2010820",,,"7","35B",,"01/02/2010 12:00:00 AM",,,"2010-01-02T00:00:00.000","3550-0","DRUGS",,
"SL2010843","SALT LAKE CITY","5","7","0","1000 S JEFFERSON ST                                                                                      ","01/02/2010 12:00:00 AM","PEF","231","2010-01-02T00:00:00.000","7399-99","PUBLIC ORDER","1890608","879079"
"SL2010839","SALT LAKE CITY","4","7","0","300 E 200 S                                                                                             ","01/02/2010 12:00:00 AM","CEC","212","2010-01-02T00:00:00.000","7399-40","PUBLIC ORDER","1894390","886000"
"SL2010853","SALT LAKE CITY","1","7","220","1100 N REDWOOD RD                                                                                        ","01/02/2010 12:00:00 AM","WES","131","2010-01-02T00:00:00.000","2202-0","BURGLARY","1878574","897095"
"SL2010819","SALT LAKE CITY","5","7","90Z","200 E WESTMINSTER AVE                                                                                   ","01/02/2010 12:00:00 AM","LIW","234","2010-01-02T00:00:00.000","4902-0","ESCAPE","1893445","872791"
"SL2010852","SALT LAKE CITY","2","7","13C","1200 W GILLESPIE AVE                                                                                     ","01/02/2010 12:00:00 AM","POP","151","2010-01-02T00:00:00.000","1316-2","ASSAULT","1881580","883217"
"SL2010946","SALT LAKE CITY",,"7","280",,"01/02/2010 12:00:00 AM","PEF","234","2010-01-02T00:00:00.000","2803-0","STOLEN PROP","1891028","873872"
"SL2010806","SALT LAKE CITY","1","7","250","1100 W 600 N                                                                                             ","01/02/2010 12:00:00 AM","ROP","131","2010-01-02T00:00:00.000","3599-84","DRUGS","1882583","892384"
"SL2010969","SALT LAKE CITY","5","7","90D","1600 S 1100 E                                                                                            ","01/02/2010 12:00:00 AM","EAC","232","2010-01-02T00:00:00.000","5404-1","TRAFFIC","1900578","874865"
