"case","city","city_council","day_of_week","ibr_code","location","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL2011136552","SALT LAKE CITY","1","4","0",,,"A3","133","2011-08-17T15:18:05.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011136723","SALT LAKE CITY","1","4","0",,,"A3","133","2011-08-17T20:14:40.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011136637","MURRAY","SL","4","0",,,"45","45","2011-08-17T17:46:33.000","5399-49","PUBLIC PEACE","1886652","846661"
"SL2011800787",,,"4","23D",,,,,,"2308-0","LARCENY",,
"SL2011138349",,,"7","90D",,,,,"2011-08-20T03:06:43.000","5404-0","TRAFFIC",,
"SL2011159163","SALT LAKE CITY","3","2","90J",,,"B1","211","2011-09-21T10:56:36.000","5707-0","INV OF PRIVACY","1894538","900314"
"SL2011140436",,,"3","23C",,,,,"2011-08-23T13:25:18.000","2303-0","LARCENY",,
"SL2011141386","SALT LAKE CITY","1","4","0",,,"A3","133","2011-08-24T21:36:56.000","7399-6","PUBLIC ORDER","1866905","891511"
"SL2011141886","SALT LAKE CITY","2","5","90Z",,,"A5","153","2011-08-25T16:31:30.000","4902-0","ESCAPE","1884779","860289"
"SL2011150649","SALT LAKE CITY","4","5","90Z",,,"CEC","212","2011-09-08T12:54:44.000","3599-99","DRUGS","1894609","887523"
"SL2011142880","WEST VALLEY CITY","SL","6","280",,,"43","43","2011-08-26T22:36:21.000","2804-0","STOLEN PROP","1855144","863668"
"SL2011142454","SALT LAKE CITY","1","6","23G",,,"JOM","133","2011-08-26T10:36:25.000","2304-0","LARCENY","1877295","889038"
"SL2011143033",,,"7","90Z",,,,,"2011-08-27T02:12:42.000","4902-0","ESCAPE",,
"SL2011143786","SALT LAKE CITY","1","1","0",,,"A3","133","2011-08-28T03:06:02.000","7399-99","PUBLIC ORDER","1865746","891599"
"SL2011144648","SALT LAKE CITY","1","2","0",,,,,"2011-08-29T16:43:08.000","5399-28","PUBLIC PEACE",,
"SL2011144696","SALT LAKE CITY",,"2","90Z",,,,,"2011-08-29T17:53:15.000","4902-0","ESCAPE",,
"SL2011145463","SALT LAKE CITY","5","3","13B",,,"B5","235","2011-08-30T22:13:20.000","1313-1","ASSAULT","1898165","874175"
"SL2011145565",,,"4","0",,,,,"2011-08-31T05:54:19.000","5499-6","TRAFFIC",,
"SL2012800263",,,"4","26C",,,,,,"2699-1","FRAUD",,
"SL2011146669","SALT LAKE CITY","1","5","0",,,"A3","133","2011-09-01T20:42:21.000","5499-84","TRAFFIC","1866905","891511"
"SL2011146866","SALT LAKE CITY","1","6","0",,,"A3","133","2011-09-02T07:17:48.000","5499-84","TRAFFIC","1866905","891511"
"SL2011147276","SALT LAKE CITY",,"6","35A",,,"A1","112","2011-09-02T19:34:12.000","3542-0","DRUGS","1888340","887737"
"SL2011148232","SALT LAKE CITY","1","6","26A",,,"JOM","133","2011-09-04T11:04:11.000","2699-0","FRAUD","1877296","889759"
"SL2011156323","SALT LAKE CITY",,"7","23D",,,,,"2011-09-16T21:20:00.000","2308-0","LARCENY",,
"SL2011148729",,,"2","90Z",,,,,"2011-09-05T06:32:27.000","4902-0","ESCAPE",,
"SL2011148892","SALT LAKE CITY","1","2","0",,,"A3","133","2011-09-05T13:48:46.000","7399-1","PUBLIC ORDER","1866905","891511"
"SL2011149531","SALT LAKE CITY","F","3","0",,,"POP","132","2011-09-06T16:01:14.000","7399-1","PUBLIC ORDER","1878597","888006"
"SL2011149650",,,"3","90E",,,,,"2011-09-06T19:15:26.000","7399-26","PUBLIC ORDER",,
"SL2011149270","SALT LAKE CITY",,"3","0",,,"A5","154","2011-09-06T08:12:48.000","5499-7","TRAFFIC","1846835","884977"
"SL2011150941","SALT LAKE CITY",,"5","90Z",,,,,"2011-09-08T20:35:13.000","4902-0","ESCAPE",,
"SL2011178040","SOUTH SALT LAKE","SL","7","90D",,,"42","42","2011-10-22T01:29:03.000","5404-0","TRAFFIC","1892560","870281"
"SL2011178791","SALT LAKE CITY","1","1","0",,,"113","Z1","2011-10-23T04:19:31.000","5499-84","TRAFFIC","1866905","891511"
"SL2011179099","SALT LAKE CITY",,"1","23F",,,,,"2011-10-23T18:22:57.000","2305-0","LARCENY",,
"SL2011179898",,,"3","90Z",,,,,"2011-10-25T09:03:03.000","4902-0","ESCAPE",,
"SL2011180490","SALT LAKE CITY","1","4","0",,,"113","Z1","2011-10-26T10:58:45.000","5499-84","TRAFFIC","1866905","891511"
"SL2011801111","SALT LAKE CITY","4","4","23F","300 S 500 W                                                                                             ",,"132","Z3",,"2305-0","LARCENY","1887876","885178"
"SL2011801134",,,"5","0",,,,,,"7399-6","PUBLIC ORDER",,
"SL2011801187","SALT LAKE CITY","3","5","23F","400 N 200 W                                                                                             ",,"131","Z3",,"2305-0","LARCENY","1890275","891011"
"SL2011181522","SALT LAKE CITY","SL","6","240",,,"40","40","2011-10-28T04:31:55.000","2404-44","STOLEN VEHICLE","1877982","878850"
