"cases","city","city_council","day_of_week","ibr_code","location","occur_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"SL200960","SALT LAKE CITY","4","5","90E","200 S WEST TEMPLE ST                                                                                    ","01/01/2009","DTN","113","01/01/2009","7399-26","PUBLIC ORDER","1891105","885456"
"SL200953","SALT LAKE CITY","7","5","90G","2200 S 1800 E                                                                                            ","01/01/2009","SUG","236","01/01/2009","4104-0","LIQUOR","1906124","870636"
"SL200915","SALT LAKE CITY","7","5","23C","500 E 2100 S                                                                                            ","01/01/2009","SUG","235","01/01/2009","2303-0","LARCENY","1895817","871513"
"SL200929","SALT LAKE CITY","5","5","23C","1700 S 300 W                                                                                             ","01/01/2009","PEF","234","01/01/2009","2303-0","LARCENY","1889476","874431"
"SL2009144","SALT LAKE CITY","1","5","90D","500 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2009","JOM","133","01/01/2009","5404-0","TRAFFIC","1866905","891511"
"SL200930","SALT LAKE CITY","1","5","90Z","500 N TERMINAL NORTHBOUND DR                                                                            ","01/01/2009","JOM","133","01/01/2009","4902-0","ESCAPE","1866905","891511"
"SL200971","SALT LAKE CITY","3","5","220","400 N 400 W                                                                                             ","01/01/2009","CAH","111","01/01/2009","2203-0","BURGLARY","1888692","891178"
"SL200987","SALT LAKE CITY","1","5","13A","100 N 900 W                                                                                             ","01/01/2009","STF","132","01/01/2009","1305-0","ASSAULT","1884722","888808"
"SL2009116","SALT LAKE CITY","4","5","220","200 W 300 S                                                                                             ","01/01/2009","DTN","112","01/01/2009","2203-0","BURGLARY","1889587","885166"
"SL2009180","SALT LAKE CITY","3","5","13A","600 N 900 W                                                                                             ","01/01/2009","ROP","131","01/01/2009","1302-0","ASSAULT","1884796","892355"
"SL200941","SALT LAKE CITY","2","5","13B","1500 W 400 S                                                                                             ","01/01/2009","POP","151","01/01/2009","1313-0","ASSAULT","1879344","884471"
"SL200958","SALT LAKE CITY","2","5","23C","2000 S 900 W                                                                                             ","01/01/2009","WSL","153","01/01/2009","2303-0","LARCENY","1884684","872260"
"SL2009199","SALT LAKE CITY","3","5","0","300 N CENTER ST                                                                                         ","01/01/2009","CAH","111","01/01/2009","5499-12","TRAFFIC","1891403","890269"
"SL2009119","SALT LAKE CITY","1","5","13B","600 N OAKLEY ST                                                                                         ","01/01/2009","ROP","131","01/01/2009","1313-0","ASSAULT","1881928","892666"
"SL2009211","SALT LAKE CITY","4","5","0","000 E 600 S                                                                                             ","01/01/2009","PEF","115","01/01/2009","7399-40","PUBLIC ORDER","1892068","882780"
"SL200979","SALT LAKE CITY","4","5","13A","200 E 300 S                                                                                             ","01/01/2009","CEC","113","01/01/2009","1305-0","ASSAULT","1893463","885211"
"SL2009122","SALT LAKE CITY","2","5","13B","1500 W 2100 S                                                                                            ","01/01/2009","WSL","153","01/01/2009","1313-0","ASSAULT","1879437","871758"
"SL2009128","SALT LAKE CITY","7","5","90Z","2200 S 1800 E                                                                                            ","01/01/2009","SUG","236","01/01/2009","4902-0","ESCAPE","1906124","870636"
