"address","case","city","council","day_of_week","ibr_code","occ_date","police_grid","police_zone","report_date","ucr_code","ucr_description","x_coordinate","y_coordinate"
"400 W 500 S","SL2013323","SALT LAKE CITY","4","3","0","2013-01-01T15:53:00.000","134","Z3","2013-01-01T15:53:00.000","5499-8","TRAFFIC","1888561","883645"
"2ND AVE / H ST","SL2013395","SALT LAKE CITY","A","3","0","2013-01-01T19:16:00.000","141","Z4","2013-01-01T19:16:00.000","5499-8","TRAFFIC","1896879","888399"
"2700 S 700 E","SL2013296","SALT LAKE CITY","7","3","0","2013-01-01T14:28:00.000","162","Z6","2013-01-01T14:30:00.000","5499-8","TRAFFIC","1897283","866828"
"2200 S 1300 E","SL2013313","SALT LAKE CITY","7","3","0","2013-01-01T15:14:00.000","163","Z6","2013-01-01T15:14:00.000","5499-8","TRAFFIC","1902126","870438"
"900 E 2100 S","SL2013384","SALT LAKE CITY","7","3","0","2013-01-01T18:43:00.000","162","Z6","2013-01-01T18:43:00.000","5499-8","TRAFFIC","1899131","871528"
"100 W PIERPONT AVE","SL2013800002","SALT LAKE CITY","4","3","290","2013-01-01T11:00:00.000","133","Z3","2013-01-01T13:34:00.000","2902-0","DAMAGED PROP","1890580","885558"
"900 E 2100 S","SL2013435","SALT LAKE CITY","7","3","290","2013-01-01T20:44:00.000","162","Z6","2013-01-01T20:44:00.000","2901-0","DAMAGED PROP","1899513","871496"
"800 S 900 W","SL2013339","SALT LAKE CITY","2","3","0","2013-01-01T16:28:00.000","122","Z2","2013-01-01T16:28:00.000","5499-7","TRAFFIC","1884749","880807"
"1500 S 1500 E","SL2013249","SALT LAKE CITY","6","3","0","2013-01-01T12:35:00.000","154","Z5","2013-01-01T12:35:00.000","5499-7","TRAFFIC","1903809","875741"
"1500 E LOGAN AVE","SL2013268","SALT LAKE CITY","6","3","0","2013-01-01T13:13:00.000","154","Z5","2013-01-01T13:13:00.000","5499-7","TRAFFIC","1904170","874782"
"500 S FOOTHILL DR","SL2013428","SALT LAKE CITY","6","3","0","2013-01-01T20:44:00.000","151","Z5","2013-01-01T20:44:00.000","5499-7","TRAFFIC","1906100","883508"
"100 S REDWOOD RD","SL2013447","SALT LAKE CITY","2","3","0","2013-01-01T21:32:00.000","124","Z2","2013-01-01T21:32:00.000","5499-7","TRAFFIC","1878561","886429"
"500 N TERMINAL NORTHBOUND DR","SL2013285","SALT LAKE CITY","1","3","13C","2013-01-01T11:00:00.000","113","Z1","2013-01-01T13:53:00.000","1316-3","ASSAULT","1866905","891511"
"1100 S 700 W","SL20131170","SALT LAKE CITY","2","3","220","2013-01-01T22:00:00.000","122","Z2","2013-01-03T10:09:00.000","2202-0","BURGLARY","1886265","878668"
"2600 E SUNNYSIDE AVE","SL201357","SALT LAKE CITY","6","3","90Z","2013-01-01T01:17:00.000","154","Z5","2013-01-01T01:17:00.000","6201-0","CONSERVATION","1912576","880725"
"500 N TERMINAL NORTHBOUND DR","SL2013347","SALT LAKE CITY","1","3","0","2013-01-01T16:34:00.000","113","Z1","2013-01-01T16:47:00.000","5499-8","TRAFFIC","1866905","891511"
"200 S 500 W","SL2013231","SALT LAKE CITY","4","3","90G","2013-01-01T11:16:00.000","132","Z3","2013-01-01T11:16:00.000","4104-0","LIQUOR","1887878","885890"
"200 S RIO GRANDE ST","SL2013243","SALT LAKE CITY","4","3","90G","2013-01-01T11:56:00.000","132","Z3","2013-01-01T11:56:00.000","4104-0","LIQUOR","1888297","885699"
"200 S RIO GRANDE ST","SL2013289","SALT LAKE CITY","4","3","90J","2013-01-01T14:05:00.000","132","Z3","2013-01-01T14:05:00.000","5707-0","INV OF PRIVACY","1888297","885604"
"1600 W 400 S","SL2013800004","SALT LAKE CITY","2","3","90Z","2013-01-01T18:00:00.000","121","Z2","2013-01-02T01:09:00.000","5401-0","TRAFFIC","1879308","884411"
"600 N I ST","SL2013800006","SALT LAKE CITY","3","3","23F","2013-01-01T23:00:00.000","141","Z4","2013-01-02T09:43:00.000","2305-0","LARCENY","1897280","892730"
"300 N CENTER ST","SL2013800009","SALT LAKE CITY","3","3","23F","2013-01-01T20:00:00.000","131","Z3","2013-01-02T16:15:00.000","2305-0","LARCENY","1891373","890188"
"400 S 500 E","SL2013800011","SALT LAKE CITY","4","3","0","2013-01-01T19:00:00.000","144","Z4","2013-01-02T18:19:00.000","7399-6","PUBLIC ORDER","1895856","883946"
"200 W 500 S","SL2013196","SALT LAKE CITY","4","3","0","2013-01-01T09:08:00.000","134","Z3","2013-01-01T09:08:00.000","5399-89","PUB PEACE-HOST","1890176","883639"
"00 S MAIN ST","SL2013216","SALT LAKE CITY","4","3","0","2013-01-01T10:15:00.000","133","Z3","2013-01-01T10:15:00.000","5399-89","PUB PEACE-HOST","1891904","887129"
"100 S 400 W","SL2013291","SALT LAKE CITY","4","3","0","2013-01-01T14:15:00.000","132","Z3","2013-01-01T14:15:00.000","5399-89","PUB PEACE-HOST","1888673","886381"
"500 S 400 W","SL2013294","SALT LAKE CITY","4","3","0","2013-01-01T14:22:00.000","134","Z3","2013-01-01T14:22:00.000","5399-89","PUB PEACE-HOST","1888661","883591"
"2000 E HOLLYWOOD AVE","SL20131154","SALT LAKE CITY","6","3","23F","2013-01-01T02:00:00.000","163","Z6","2013-01-03T09:21:00.000","2305-0","LARCENY","1908262","872238"
"100 W 400 S","SL20131746","SALT LAKE CITY","4","3","13A","2013-01-01T00:10:00.000","135","Z3","2013-01-04T12:58:00.000","1306-0","ASSAULT","1890667","884369"
"1300 N MIAMI RD","SL20131368","SALT LAKE CITY","1","3","0","2013-01-01T00:01:00.000","111","Z1","2013-01-03T18:22:00.000","7399-6","PUBLIC ORDER","1877885","898736"
"1300 N BECK ST","SL20132363","SALT LAKE CITY","3","3","220","2013-01-01T00:01:00.000","131","Z3","2013-01-05T17:38:00.000","2203-0","BURGLARY","1887340","897849"
